name,ratings,date,helpful,comment,developer_comment
닥쏠,1,2021-05-04,100,"왜 음성통화 걸려오면, 전화 왔다는 화면을 안띄워 주시나요? 노트10 씁니다. 전화는 오는데, 누구한테 오는지 모르니까 체팅방 일일히 다 열어서 어떤 전화기 마크가 (그것도 심지어 쬐끄매) 초록색으로 빛나고 있는지 일일히 찾아야 하잖아요 업데이트 전엔 안그랬는데 왜이래? 21년 5월 추가한다. 메세지 오면 왜 제깍제깍 안표시되냐? 알람만 울리고, 막상 쳇 열면 새로 온 메세지가 없다고! 백그라운드에서 앱 껏다 다시 키면 그제서야 보이는게 정상이냐? 미쳤네",
koyuki nishio,1,2021-05-04,12,로그인 못 해요~! 인터넷이 원활하지 않는다고 나오네요. 다른 것들이 다 되는데 말입니다.,
인경,1,2021-05-04,0,문의하고싶은게있는데 홈페이지도 그렇고 어디에도 이메일주소나 전화번호도 없고 뭐 어떻게 아무것도없음?,
마주앙,1,2021-05-03,1,개비싸 비싸면 재미라도 있던가 그냥 비싸 한번쓰고 지운다 안 타본 사람은 호기심에 5000원 15분 안에 날라간다,
JH J,1,2021-05-03,5,분명 메시지 수신 팝업 받았는데 켜보면 메시지 바로 안오고 1분뒤에 몰아서옴.,
뽈꼴2,1,2021-05-03,0,아저는 이게 만3세이상이여서 깔아봤는데 만14세이상으로뜨내요 하진짜,
멀 꼬라봐,5,2021-05-03,0,너무 좋아용 저희엄마께서도 쓰시고 저희 사촌언니도 써용 너무 좋습니당,
김재철,2,2021-05-03,5,친구찾기 아이디검색부분에서 문자가 이중으로 입력숫자는 괜찮아요.,
나의VLOG,1,2021-05-03,2,전체적으로 고쳐주세요. 서비스 참 별로네요.,
숲엔바다,1,2021-05-03,0,한 두달째 인증 기능을 일시적으로 사용할 수 없다면서 로그인조차 안 되는 건 뭡니까? 여기 일 안 해요?,
김민혁,1,2021-05-03,0,인증기능이 안된다는데요..,
Kyunghoon Kim,3,2021-05-03,3,알람 또 안오기 시작하네요. 뭐가 문젭니까 .. 업데이트좀 하지 말아주세요 제발 ㅜㅜ,
전효담,3,2021-05-02,0,상단바에 알림 떠서 들어가면 아무것도 없는 거 개선 부탁드립니다,
xy დ,2,2021-05-02,0,좋지도 나쁘지도아늠,
선현준,2,2021-05-02,1,이상한 사람이 많음,
라임슈가,1,2021-05-01,1,이거 야한 사람들이 많이이용해서 이앱을 없애줬음 좋겠네요,
이솔비,5,2021-05-01,0,라인입니다,
고리,5,2021-05-01,0,최고!,
전현서,5,2021-05-01,0,카톡보다 더 좋음,
양성민,3,2021-05-01,0,Egu recently releasezd c,
장준호,4,2021-05-01,0,I cant make friend. When i try to make friend it say it don`t work.,
Jisoo Park,1,2021-04-30,1,"라인알람잘안뜨고, 느려요..개선시급한데 몇달째그대론데 언제개선되나요",
SHAOHSING DOO,5,2021-04-30,0,굿,
오서준,3,2021-04-30,2,입력 중 알림 사라졌나요 어느순간부터 안 뜨네요 버그인가,
선비,1,2021-04-29,2,진짜 인증방법이나 똑바로만들어 이게 맞냐? 비번 똑바로쳐도 안되고 비번찾기하니까 무슨 이메일치래서 가입할때쳤던 네이버 치니까 메일 안오고 어쩌라는거여ㅡㅡ 그러더니 인증초과뜬다고? 이게 대기업에서 월급주면서 만들은 어플이냐? 이럴꺼면 접으세여 ㅋㅋㅋㅋ,
포커스_사신,1,2021-04-28,0,한 마디로 정리... 카톡 짭,
레몬망고,5,2021-04-28,0,정멀 좋아요 카톡보다 좋은 것 같아요 진짜 카톡보다 좋은 앱 처음봄요...!,
하은비맘,1,2021-04-28,26,비번 몰라서 이메일로 비번 받으려고 했는데 수십번 이메일 입력해도 메일이 안옴 ㅜㅜ 여기는 직원들이 일을 안 하나?,
E.S K.,1,2021-04-28,40,맨날 백업할려하면 잠시후에 다시 시도하라 그러고 저 같으면 바로 고칠텐데.... 정말 최악의 어플이네요^~^ 무능하고 보기 좋습니다,
황선미,3,2021-04-28,12,제발 제발 제발 제발 해시태그 살려주세요 제발 부탁드려요 저희가 보기 싫으시죠 좀 사릴테니까 제발 살려주시면 안 될까요 제 추억이고 사랑이고 그래요 동성을 사랑하는 친구들을 사귀기에도 편했어요 제발 아무것도 안 바래요 해시태그만 살려주시면 안 될까요 정말 브탁드려요 해시태그 없애시고 이용자 많이 빠지지 않으셨나요 피난민이 되었어요 저희는 제발요 해시태그 살려주세요,
박하늘,1,2021-04-27,0,계정을 만들 수가 없습니다 가입을 하려고 하면 오류가 뜨고 재접속 해도 뜨고 삭제했다가 다시 들어가도 오류가 뜹니다,
이재현,1,2021-04-27,6,접속하려고 하니 비번 까먹어서 메일전송 눌렀는데 몇시간동안 안옴ᆢ ㅡㅡ,
beongsung yu,1,2021-04-27,1,최악입니다. 계정을 찾으려고 비밀번호 찾기를 눌러도 이메일로 변경하는게 안 오네요 ㅋㅋㅋ 고객센터 전화도 안되고 뭐하자는 건지,
홍학기,3,2021-04-27,0,카톡은규제가많아서사용하기가싫다.,
이찬,1,2021-04-27,3,"저기요 개발자분들 앱 점검은 제대로 하시는거 맞나요? 저 s21울트라 씁니다. 근데 제폰이 이상한건가요? 메세지도 제대로 안받아지고 보내는것도 에러심하고, 사진보내면 전송도 안되고, 전화도 제대로 연결이 안되고..지금 뭐하고 계신가요? 앱 관리 좀 하세요",
멍깜야꼬,3,2021-04-27,13,접속중좀 끌수있게 해주세요...요즘 안쓸땐 그냥 강제종료시키고 쓰고있어요,
이랑,1,2021-04-26,0,메세지 안보내지는거 심각하네요 채용 전에 시스템이나 제대로 손보시길,
김수정,5,2021-04-26,0,좋음,
즐거워용,2,2021-04-26,1,메신저가 메시지가 안가고 알람이 2시간 뒤에 오면 어쩌자는 건지 모르겠음,
Google 사용자,5,2021-04-26,0,대화할때 일본번역기 초대가안되요ㅠㅠ,
kimmy,1,2021-04-26,1,소리로해놔도 두번째메세지부터 소리로알려줌,
김죠랄,1,2021-04-26,0,앱 다운이 안 됌,
강동현,2,2021-04-25,1,왜 갑자기 LINE에서 국가변경 사라져습니까 갑자기 사라진 이유가 뭐에요 이유를 알려주세요,
박동진,5,2021-04-25,0,계속 번호로 접속했는데 접속이 안됩니다.,
이선우,5,2021-04-25,7,카톡보다 좋네요 제가 카톡 영정먹고 짜증나서 라인깔았는데 카톡하고 차이가 없어서 불편함을 느끼지않아서 좋네요 이제 라인만 정착해야겠네요,
라임1395,1,2021-04-25,0,회원탈퇴한 사람은 어떻게찾나요..,
제이케이,2,2021-04-24,126,제발 업뎃 관리 좀 똑바로 해요. 이럴거면 접던가. 최신버전 쓰면 뭐합니까 매번 메시지 전송 속도가 느려서.. 최신폰 쓰는데도 수신이 몇분씩 함흥차사인게 말이되나.. 이러다간 예전에 망한 틱톡꼴 날듯,
윤아,1,2021-04-24,0,왜 설치가 안돼죠?,
껍던씸,1,2021-04-24,15,진짜 얘네 뭐하자는 걸까,
신진오,1,2021-04-24,1,여태 잘사용했는데 업데이트 되지 않네요,
이달웅,4,2021-04-23,0,공유,
BY A,1,2021-04-23,0,지금같은시대에 지문인식 잠금이 없는게 말이됨?ㅜㅜ,
디바디바,2,2021-04-22,0,해시태그 왜 없앴나요?,
냥냥,1,2021-04-22,0,도대체 전송이 왜 안되냐고~~~~~몇번째냐고~~~~~,
또뇽,1,2021-04-22,0,허구언날 오류 오류..버그 안 잡나요?!!! 아니 메세지 온거 알림도 안 뜨고!! 오늘은 아예 메세지가 안 가요!! 다시 들어가도 데이터 껐다켜도 안 가서 그냥 지워 버렸어요!!!!!!!,
성완,1,2021-04-22,0,알람이 안떠요ㅠㅠ,
백바람따라 구름따라,3,2021-04-22,0,영어통역 계정이 나에겐 나타나지 않네요 해결방법이 없는지요,
말랑콩떡밤비깅,1,2021-04-22,1,한국인데 현재 국가 및 지역에서는 해시태그 지원을 왜 못하나요 ㅋㅋ,
alice w,1,2021-04-21,2,로그인이 안되는데 뭘 어쩌라는 건데?,
이성희,1,2021-04-21,0,가면 갈수록 사람들이 원하지 않는 방향으로 가네요. 인스타처럼 태그가 안 되는 거 너무 불편하네요. 카톡이랑 다르게 태그로 사람 구별하는 게 라인의 장점이였는데. 다음 업데이트에서는 탐라에서 태그로 사람 구별이 가능했으면 좋겠네요.,
WA KA,1,2021-04-20,0,알람 안오거나 늦게옴,
김민수 김지유 김종규,5,2021-04-20,0,짱👍👍,
안소희,1,2021-04-20,22,별 하나도 아깝다. 업데이트 안함? 라인왔다고 울리는데 막상 라인들어가면 메시지가 안보임. 아예 껐다켜야 보임. 이게 뭐하는짓 ㅡㅡ,
cloe teacher,1,2021-04-20,0,그냥 지웠다가 깔았는데 이제 설치도 안됌 ㅡㅡ,
김제관,3,2021-04-19,111,구글 플레이 스토어에서 라인 4월 5일 (11.5.2버전) 이후로 업데이트가 안되네요~ㅠ 지금 다른 사람은 업데이트 최종 날자가 4월 15일 11. 6.2버젼으로 업데이트 되었다는데 ... 최버젼 업데이트 안되면 톡 메시지나 알림이 늦게 뜨던데....ㅠ,
좋은세상,2,2021-04-19,0,인증번호는왔는데 더이상진행이안됨,
Galbay,1,2021-04-19,1,깔리는데 드럽게 오래걸리네,
방신봉,5,2021-04-19,0,좋은앱니다~~~,
신송자,5,2021-04-19,4,사용하기편하고 정확함,
푸푸리퐌퐌다,1,2021-04-19,0,업뎃 후 메세지도 안가지고 대화도 피시랑 연결이 안됩니다,
귀요미,2,2021-04-19,0,이반들 톡,
김민형,5,2021-04-18,0,미쳤다 개 꿀인데?올~톡보다 좋슴다 근데 개느림 다운 속도 개 짜증,
황선영,1,2021-04-17,1,비번확인메일이 안와요. 쓰고싶어도못쓰는상황,
이꾹꾹,2,2021-04-17,0,번역기능 있우면 좋갰어요,
스췽췽스,1,2021-04-17,5,해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그해시태그,
쭈닝,1,2021-04-16,1,톡이나 전화가 와도 알림이 안떠서 개빡침 심할때는 하루후에 톡이 도착하는 경우도 있음 업데이트를 할때마다 오류랑 렉이 기하급수적으로 늘어남,
이한신,5,2021-04-16,0,안녕 하세요. ..,
ᄋᄋᄋᄋ,1,2021-04-16,0,안녕하세요 이 앱을 사용하는 손님입니다. 저가 패밀리링크를 사용하는데 그래서 저가 사이드바를 깔아서 사용하는데 최근에 한 앱들이 옆으로 뜨거든요 근데 업뎃 하라고 해서 하는데 계속 업뎃이 안되네요..; 한 번 그런게 아니라 10번 넘게도 안돼네요 대기중만 보이고 이 문제점 고쳐주세요.,
오현지,1,2021-04-16,0,안들어가져요,
JINGYUEN WU,5,2021-04-16,0,ok,
김소희,5,2021-04-16,0,너무 편안,
park seohye,5,2021-04-16,0,꿀잼 재미있어요! 친구들과 노는 약속도 라인으로 해요!! 넘나 편리행♡♡♡,
m zsw,3,2021-04-15,0,댓글 보는 방법 설명 좀 부탁드려요,
김성윤,5,2021-04-15,0,😅😅😅😘🤩😅😘😏,
빠7,5,2021-04-15,0,아 그냥 좋아요,
Jacob Lee,1,2021-04-15,5,아예 안들어가지는데요? 첨에는 저만 그런건줄 알았는데..제동생도 먹통이더군요 버그좀 고쳐줘요,
ZIEN,1,2021-04-14,3,네트워크잘만되는데 오류라고뜨면서 채팅도안되고 암것도안되네요ㅡ.ㅡ,
써니,1,2021-04-14,0,자꾸 톡이늦게가요 왜이러죠,
언제나자유,1,2021-04-14,6,비밀번호찾기 메일이 안옵니다. 네이버가 예전의 네이버가 아니네요. 카카오 따라갈려면 한참 멀었습니다.,
하허하,1,2021-04-14,8,"혹시, 회사에 직원이 없나요...? 아니면 일을 안 하시는 건가요...? 어떻게 업데이트를 할 때마다 기능 하향이 될 수 있죠...? 골수 유저인데 진짜 너무 심각해요. 알림도 안 오고 진짜 이게 뭐지.",
남연우,1,2021-04-13,4,비번을 까먹오서 이메일로 할려고 하는대 이메일에도 문자가 안가고 비번도 다 틀렸다고하는데 이기능에 초기화는 없어요??,
졸려,1,2021-04-13,0,나만 지금 구글이 이상하다고 생각하나~?,
권My Back pearl 흑진주 율 sone,1,2021-04-13,0,앱을 아예 다운 못해요 ㅜㅜ,
최유진,1,2021-04-13,0,다운받은적이없어요 저절로 다운이되나요?? 쓴적없는거같은데요ㅜㅜ,
드럼,5,2021-04-13,0,Good,
ᄋᄋ,1,2021-04-13,161,"업데이트 할때마다 점점 어플이 맛탱이감. 문자가 왔는데 몇 분 걸리면서 늦게 전달 혹은 전송되기도 하고, 가끔 전화 목소리가 상대방에게 전달되지도 않음. 여자친구가 외국이라 쓰는데 외국인 아니였으면 진작 쓰지도 않았을 어플.",
이정환,1,2021-04-13,0,왜 가입이 안되죠??,
도토리의일상,4,2021-04-12,0,1. 이 앱을 사용해서 사진을 한꺼번에 편하고 빠르게 전송할 수 있다. 2.이 앱을 사용하여 연락처를 검색할 수 없다. 3.이 앱은 사용하기 쉬웠다..,
최지혜,3,2021-04-12,7,왜 갑자기 탐라에 비공라 글이 정리되어있던 것이 없어지고 비공라 글이 탐라에 그대로 보여지게 된 건가요?,
폰젝트,1,2021-04-12,0,세상에... 인증도 안 되네?,
쏭팀장,2,2021-04-12,1,요근래 계속 먹통증상이 잦음.,
Google 사용자,1,2021-04-12,3,아니… 메세지 올때 상단에 제발 뜨지 말라구 좀!!! 안드로이드만 그러는지 모르겠지만 굉장히 불편합니다!! 메세지 올때마다 위에서 팝업창 처럼 내리고 중요한 티켓팅이나 게임할때 방해가 된다구요!!!,
박수,1,2021-04-12,0,먹통 먹통 아무것도 안됨,
손용현,1,2021-04-12,1,메시지 수신이안됩니다 지금전체적으로그런건가요 저만그런가요,
디센트럴랜드무한존버,1,2021-04-12,1,아니지금 라인먹통이잖아 빨리고쳐 일안하냐 ?,
PyongAn Nam,1,2021-04-12,0,라인 먹통됨....,
남극펭귄,1,2021-04-12,13,어플 지우고서 다시 깔려고 하는데 다운 받는 과정 없이 바로 설치가 되고 또 엄청 빨리 설치 되고(평상시보다 훨씬) 동기화중에 자꾸 77%에서 멈추면서 오류 뜨는데 왜 이러는 건가요?,
이미향,1,2021-04-12,0,이거 왜 갑자기 전화가 안돼나요?,
박선홍,1,2021-04-12,9,"현재 메세지, 전화 등 대부분의 기능이 먹통입니다. 조속한 해결이 이루어지길 바랍니다.",
강율이,1,2021-04-12,0,지금 먹통.. 수신 안되고 발신 됐다고 떠도 상대방한테는 안감 통화도 안됨,
김민규,1,2021-04-12,0,라인먹통인데 어케된겁니까 8828282,
벤조디아제핀,1,2021-04-12,0,한번 맛가면 복구불가,
우영은,1,2021-04-12,13,라인 잘되다가 갑자기 메세지 수신이 안되네요 발신은 됐다고 표시되는데 ..업무때문에 급한데 해결 부탁드려요,
틱톡인싸,1,2021-04-12,27,알림 늦게 오는것 뿐만 아니라 메시지 자체가 늦게 옴 사진파일 전송실패 업데이트 해도 답이 없음 예전에는 안 그랬는데 3월부터 계속 이럼,
범부,1,2021-04-12,1,라인 메시지 전송 계속 오류 나는데.. 무슨일이죠?,
김단비,5,2021-04-12,0,왜 지금 안되나요?,
김수현,4,2021-04-12,0,오픈채팅 있으면 좋을듯,
나형주,1,2021-04-12,0,비밀번호 찾기가 안되서 사용할수가 없음,
남서현수,1,2021-04-11,0,알잖아요,
Seo Young Suk,1,2021-04-10,31,라인이 먹통이네요ㅡㅡ부재중전화가와서 다시 걸었는데 네트워크오류라고 자꾸 뜨고 메세지도 안가고 고객센터도 연결안되고 모죠?이거 어케해요?아 답답ㅠ,
Sujin Lee,3,2021-04-10,1,문자가... 왔는데 내 채팅창에 업로드가 안되네요,
하늘,1,2021-04-10,9,비밀번호 까먹어서 이메일 적고서 메일 기다려도 죽어도 안오네요? 메일이 틀렸으면 메일이 틀리다는 말이라도 해주던가 뭔 어플이 이러냐?,
林達山,5,2021-04-10,1,Good!!,
Now승,1,2021-04-09,2,이거 지금 왜 안됨? 인터넷연결안되있다뜨는데?,
곰박사포켓몬스터,5,2021-04-09,0,변태들 참교육 하기 좋은 앱입니다👍,
김지영,5,2021-04-09,0,좋은하루되세요,
이민주,1,2021-04-09,1,메시지안보내지고계속먹통이에요 ㅜ,
오종화,1,2021-04-09,1,지금 버그때문에 뭐 들어가지지도 않는데요..,
마이트게이,5,2021-04-08,1,마카오톡보다 훨낫지,
나수균,1,2021-04-08,0,기기 정보,
김학열,4,2021-04-08,0,좋아요,
_j gwonun,1,2021-04-08,1,온라인은 잘 사용하는데 휴대폰은 라인 알람이 아에 안뜹니다 지금은 4월 5일 주고 받은 내용만 있을 뿐 작년부터 반복되는 현상이었는데 지웠다 다시 깔아도 똑같습니다 버그좀 조치해주세요,
Get U're Dream,1,2021-04-08,30,다음이 멍청한 운영만 안 했어도 네이버 같은 게 주류가 되지 않았을 텐데 ㅎㅎ 이 어플은 어느날부터 갑자기 지 멋대로 에러 잔치 벌여서 강제 삭제 재설치한 덕분에 기존 대화 목록도 그냥 다 날아가 버리는 게 다반사인 쓰레기 어플임. 얘넨 국내에선 카톡을 죽어도 못 이기니까 일본을 타겟으로만 삼아서 사실 한국인들이 쓸 이유가 없는 어플임.,
곰탱,1,2021-04-07,0,테마에 중복없었으면 좋겠어요.,
최,1,2021-04-07,0,실행이 안되고 개선도 안함,
윤서경,1,2021-04-06,4,"앱 대화방 알림이 자꾸 꺼져요,알림이 안와서 대화방 설정 가면 꺼져있고,켜놔도 자꾸 꺼져있고,왜 그런거죠??????",
유다은,5,2021-04-06,1,짱,
뿡뿡,1,2021-04-06,6,라인 메세지가 와도 알림이 안뜨고 대화방 들어가야 보이는 오류 몇년 된거 아직도 안고쳤네. 내 폰 문젠줄 알았더니 폰 바꿔도 똑같네 일본에는 이런 현상 없다는데 나만 그런것도 아니고 다룬 사람들 똑같운 문제 발생하는데 이것들은 오류 수정도 안하냐?,
전민기,5,2021-04-06,2,박성호,
방인호,2,2021-04-06,0,"박현 5만원짜리 나 목 목 목 목 600,000 강희라대리쪽으로해야되",
용지언,1,2021-04-06,0,"로그인 비밀번호를 잊어버려서 비밀번호찾으려고 메일주소 적었는데 메일은 오지도않고 고객센터 번호도 없고, 인증번호오는 번호로 전화했더니 설정에들어가서 도움말에 문의하라네요..로그인은 평생못하는건가요..ㅡㅡ 답답해 죽어요",
Google 사용자,5,2021-04-06,12,잘 사용하고 있습니다. 안드로이드 타블렛 지원해주세요. 카톡은 지원하던데...아이패드는 지원하면서 왜 안드로이드 타블렛은 안해주는지...,
